Country,City_ID,Population
TR,311111,159965
TR,311314,18572
TR,311453,31916
TR,311553,27423
TR,311665,75721
TR,311704,22960
TR,312024,15302
TR,312114,35472
TR,312134,16990
TR,312899,20110
TR,313013,21167
TR,313331,25826
TR,314136,28078
TR,314188,34243
TR,314648,22493
TR,314665,16916
TR,314716,22058
TR,314812,18371
TR,314830,1065975
TR,314903,15189
TR,314967,60437
TR,315061,15677
TR,315202,514869
TR,315368,420691
TR,315373,114027
TR,315401,16986
TR,315468,52684
TR,315498,92117
TR,315515,46570
TR,315530,91915
TR,315621,20063
TR,315639,23812
TR,315697,16587
TR,315720,25394
TR,315758,18769
TR,315795,80456
TR,315808,298004
TR,315905,17228
TR,315985,40777
TR,316102,17532
TR,316284,56513
TR,316411,70171
TR,316541,644763
TR,316542,18172
TR,316634,35359
TR,316795,35868
TR,317109,313238
TR,317241,21378
TR,317587,20793
TR,317588,20388
TR,317844,45657
TR,317851,21965
TR,318137,77699
TR,318253,80992
TR,318372,21327
TR,318668,31488
TR,318675,96303
TR,318755,21316
TR,318766,20975
TR,319104,34215
TR,320004,15530
TR,320369,38083
TR,320392,66158
TR,320448,31430
TR,320533,29234
TR,320552,28456
TR,320557,55365
TR,320581,21502
TR,320871,32435
TR,320879,55870
TR,320995,39317
TR,321031,74493
TR,321062,44284
TR,321082,80568
TR,321136,15242
TR,321191,44460
TR,321337,41892
TR,321426,57200
TR,321572,20113
TR,321580,73260
TR,321786,16850
TR,321836,302074
TR,321929,15922
TR,322051,17080
TR,322165,238151
TR,322391,19566
TR,322673,35193
TR,322830,163022
TR,323094,15462
TR,323777,758188
TR,323779,154803
TR,323786,3517182
TR,323828,57128
TR,324106,44883
TR,324172,40735
TR,324190,112969
TR,324490,64446
TR,324496,152201
TR,324698,84659
TR,324768,23048
TR,324944,32114
TR,325103,64695
TR,325303,146136
TR,325304,39613
TR,325330,223744
TR,325336,52781
TR,325363,1248988
ET,325579,49416
ET,325780,36292
ET,326036,17819
ET,326206,26813
ET,326308,17120
ET,327694,24169
ET,328689,85871
ET,328709,15354
ET,328716,34078
ET,329114,19533
ET,329586,20679
ET,330120,20166
ET,330186,213995
ET,330491,34547
ER,330546,23100
ET,330764,29648
ET,330811,23403
ET,331038,25239
ET,331180,215546
ET,331416,27186
ET,332746,30633
ET,332880,25614
ET,333103,27854
ER,333287,74800
ET,333356,23861
ET,333373,93605
ET,333750,32115
ET,333772,128306
ET,333795,56821
ET,334227,50078
ET,335035,90218
ET,335288,43920
ET,336014,153914
ET,336350,34369
ET,336372,38394
ET,336454,16757
ET,336496,31809
ET,336931,23753
ET,337010,16065
ET,337152,16583
ET,337405,42366
ET,337712,23463
ET,337771,25758
ET,337853,33429
ET,338554,26370
ET,338726,23116
ET,338832,252279
ET,338998,47021
ET,339219,136056
ET,339448,26748
ET,339666,104215
ET,339686,32659
ET,339708,59920
ET,339734,57787
ET,339823,24700
ET,341297,30502
ET,341397,22038
ET,341742,18973
ET,341877,32997
ET,342190,16411
ET,342559,17526
ET,342567,20293
ET,342641,19260
ER,342711,15891
ET,342856,17872
ET,342884,168899
ET,343137,133097
ET,343292,30512
ER,343300,563930
ER,343386,21300
ET,343402,30772
ET,343409,20342
ET,343413,23790
ET,343593,33150
ET,343663,69622
ET,344420,41249
ET,344620,22105
ET,344661,28268
ER,344901,17781
ET,344923,22522
ET,344979,2757729
ET,345149,65000
ET,345353,22946
ET,345704,15258
EG,346030,92667
EG,347236,67599
EG,347497,15000
EG,347542,46866
EG,347591,157737
EG,347612,51498
EG,347634,90591
EG,347749,37260
EG,347796,209419
